Referendum_ID,error,missing_info,function,time
1699,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:19Z
1700,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:22Z
1701,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:25Z
1702,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:28Z
1703,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T23:36:31Z
1704,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T23:36:33Z
1705,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T23:36:36Z
1706,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T23:36:39Z
1707,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T23:36:41Z
1712,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-16T14:33:35Z
1713,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-16T14:33:39Z
1714,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-16T14:33:43Z
1715,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-16T14:33:46Z
1716,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-16T14:33:49Z
